Latitude,Longitude
28.512472,54.9453
28.51332,54.94583
28.514167,54.946218
28.514822,54.946668
28.51539,54.946723
28.515927,54.946569
28.516388,54.946286
28.516828,54.946021
28.517042,54.945694
28.517134,54.945491
28.517144,54.945214
28.516372,54.944231
28.516098,54.943919
28.515755,54.943476
29.726541,55.332914
29.726698,55.332562
29.726,55.332307
29.724969,55.332181
29.724442,55.331786
29.722801,55.331316
29.722073,55.331131
29.721261,55.331082
29.719749,55.331004
29.719639,55.331254
29.719846,55.331769
29.719832,55.332129
29.719997,55.332411
29.72104,55.332715
29.721779,55.33298
29.722811,55.33334
29.723597,55.333542
29.724668,55.333428
29.725512,55.333158
29.726055,55.33308
29.726541,55.332914
25.88713,52.141059
25.887003,52.141336
25.88713,52.141603
25.887283,52.141922
25.88847,52.141855
25.88834,52.14128
25.88765,52.14085
25.88713,52.141059
8.883314,50.221563
8.883346,50.221527
8.883638,50.221203
8.883965,50.220813
26.310703,53.213431
26.311374,53.214136
26.31145,53.214367
26.311669,53.214603
26.311639,53.214863
26.311828,53.215204
26.311946,53.2158
26.311554,53.216097
26.310875,53.216509
26.310568,53.216732
26.310425,53.216975
26.310281,53.217112
26.310045,53.217566
26.309923,53.217696
26.309455,53.217996
26.309023,53.21821
26.308348,53.21878
26.308072,53.218894
26.30783,53.219119
26.307549,53.21935
26.307308,53.219462
26.3071,53.2197
26.307102,53.219876
26.30752,53.220118
26.307903,53.220208
26.308141,53.220193
26.309129,53.220223
26.30963,53.220198
26.3097,53.220141
26.309848,53.219676
26.310178,53.219119
26.310732,53.218777
26.311211,53.218208
26.311999,53.217661
26.312693,53.216803
26.312752,53.216636
26.313161,53.216202
26.313017,53.215949
26.312579,53.215293
26.312308,53.214895
26.311363,53.213617
26.310351,53.21272
26.310703,53.213431
27.3575,52.00104
27.35776,52.0013
27.3581,52.00138
27.35915,52.001064
27.360207,52.001064
27.360866,52.00135
27.361331,52.001386
27.362048,52.001517
27.362833,52.001523
27.36361,52.001341
27.363909,52.001601
27.36531,52.001765
27.368135,52.001619
27.369083,52.001762
27.375736,52.003681
27.376396,52.004043
27.377045,52.004205
27.377213,52.004203
27.377066,52.003996
27.376238,52.003671
27.375758,52.003366
27.369189,52.001446
27.367747,52.001028
27.36506,52.00086
27.36171,52.00061
27.35896,52.00069
27.3587,52.00061
27.35776,52.00086
27.3575,52.00104
9.33007,54.691713
9.329619,54.691661
9.329282,54.691609
9.329028,54.691536
9.328623,54.691359
9.328435,54.691337
9.328193,54.691347
9.328004,54.691385
9.327834,54.691448
9.327721,54.691536
9.327644,54.691636
9.327513,54.69183
6.810596,50.921403
6.810835,50.921039
6.812961,50.920458
6.813953,50.92123
6.814462,50.921635
6.815012,50.922068
6.815115,50.922146
6.815478,50.922422
6.815501,50.922467
6.81552,50.92248
6.815577,50.922526
6.815624,50.922562
6.815646,50.922578
6.81571,50.922605
6.816054,50.922878
6.816073,50.922909
6.816073,50.922931
6.816066,50.922946
6.81225,50.92163
6.812672,50.92173
6.813078,50.921833
6.812945,50.921314
6.812903,50.921338
6.812672,50.92173
6.812511,50.921984
74.34778,31.583258
74.347833,31.583043
74.347869,31.5829
74.347891,31.582811
74.347922,31.582685
74.347948,31.58258
74.348033,31.582236
74.348056,31.582145
74.348095,31.581986
74.348121,31.581883
74.348163,31.581713
74.348229,31.581446
74.348215,31.581348
74.348202,31.581259
74.348176,31.581071
74.348151,31.580887
74.348111,31.580609
74.348068,31.580302
74.347998,31.579801
74.347993,31.579764
74.34798,31.579669
74.347897,31.579148
74.347869,31.578967
74.347818,31.578647
74.347799,31.578529
74.347782,31.578403
74.347733,31.578057
74.347692,31.577774
74.347667,31.577641
74.347654,31.577573
74.347638,31.577488
74.347622,31.577403
74.347587,31.57722
74.347572,31.577147
74.347559,31.577074
74.347543,31.57698
74.347489,31.576669
74.347416,31.576247
9.172864,48.750247
9.172879,48.750197
9.172884,48.750182
9.172891,48.75016
9.172654,48.753825
9.172506,48.753827
9.172404,48.753827
9.172141,48.753674
9.174048,48.754724
9.173915,48.754607
26.186936,44.316277
26.187295,44.315829
125.378629,58.607903
125.378729,58.607913
125.378751,58.607854
125.378651,58.607844
125.378629,58.607903
-72.078644,42.596115
-72.075368,42.59612
